X,Y,OBJECTID,POLLUTANT_NAME,CONCENTRATION,UNIT,START_DATE,END_DATE,LONGITUDE,LATITUDE,SE_ANNO_CAD_DATA
590229.6809,4788139.7643,71,NO2,7.56859316946831,ppb,2022/03/29 04:00:00+00,2022/04/12 04:00:00+00,-79.888658,43.24066,
590454.7523,4786961.5491,72,NO2,9.65566554093274,ppb,2022/03/29 04:00:00+00,2022/04/12 04:00:00+00,-79.8860796,43.23002555,
595000.1238,4786561.1289,73,NO2,6.35965478660461,ppb,2022/03/29 04:00:00+00,2022/04/12 04:00:00+00,-79.83018497,43.22586195,
593205.8633,4784604.3781,74,NO2,6.59281493301239,ppb,2022/03/29 04:00:00+00,2022/04/12 04:00:00+00,-79.85260519,43.20846922,
588363.0256,4788426.4551,75,NO2,10.2857097495916,ppb,2022/03/29 04:00:00+00,2022/04/12 04:00:00+00,-79.91159918,43.24346213,
593965.813,4787971.0586,76,NO2,8.77834988928285,ppb,2022/03/29 04:00:00+00,2022/04/12 04:00:00+00,-79.84267854,43.2386849,
598988.3868,4792138.5669,77,NO2,9.4003881447046,ppb,2022/03/28 04:00:00+00,2022/04/11 04:00:00+00,-79.780083,43.275561,
599614.2847,4791044.3303,78,NO2,10.4327247301468,ppb,2022/03/28 04:00:00+00,2022/04/11 04:00:00+00,-79.77256927,43.26562752,
599296.7645,4788804.5694,79,NO2,8.17127679094079,ppb,2022/03/28 04:00:00+00,2022/04/11 04:00:00+00,-79.77688451,43.24550569,
597443.3835,4789071.6293,81,NO2,6.91006032306299,ppb,2022/03/28 04:00:00+00,2022/04/11 04:00:00+00,-79.79966187,43.24815175,
597787.0243,4787696.2788,82,NO2,8.07024502702275,ppb,2022/03/28 04:00:00+00,2022/04/11 04:00:00+00,-79.79567366,43.23572537,
